hr_uid,year,mortality,region,DGUID,VECTOR,COORDINATE,REF_DATE
1013,2020,822.858346198313,"Western Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071013,v106818055,5.1.1.1.1,2019/2021
1014,2001,198.33333333333334,"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071014,v106818937,6.1.1.1.1,2000/2002
1014,2006,238.33333333333334,"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071014,v106818937,6.1.1.1.1,2005/2007
1014,2011,221.66666666666666,"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071014,v106818937,6.1.1.1.1,2010/2012
1014,2020,196.19195944715995,"Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador",2015A00071014,v106818937,6.1.1.1.1,2019/2021
1100,2001,1203.3333333333333,Prince Edward Island,2015A00071100,v106820701,8.1.1.1.1,2000/2002
1100,2006,1143.3333333333333,Prince Edward Island,2015A00071100,v106820701,8.1.1.1.1,2005/2007
1100,2011,1200.0,Prince Edward Island,2015A00071100,v106820701,8.1.1.1.1,2010/2012
1100,2020,1297.4765472645845,Prince Edward Island,2015A00071100,v106820701,8.1.1.1.1,2019/2021
1101,2001,1203.3333333333333,Prince Edward Island,2016A000211,v106819819,7.1.1.1.1,2000/2002
1101,2006,1143.3333333333333,Prince Edward Island,2016A000211,v106819819,7.1.1.1.1,2005/2007
1101,2011,1200.0,Prince Edward Island,2016A000211,v106819819,7.1.1.1.1,2010/2012
1101,2020,1297.4765472645845,Prince Edward Island,2016A000211,v106819819,7.1.1.1.1,2019/2021
1200,2001,7686.666666666667,Nova Scotia,2016A000212,v106821583,9.1.1.1.1,2000/2002
1200,2006,8160.0,Nova Scotia,2016A000212,v106821583,9.1.1.1.1,2005/2007
1200,2011,8398.333333333334,Nova Scotia,2016A000212,v106821583,9.1.1.1.1,2010/2012
1200,2020,8831.8580288672,Nova Scotia,2016A000212,v106821583,9.1.1.1.1,2019/2021
1201,2001,1926.6666666666667,"Zone 1 - Western, Nova Scotia",2015A00071201,v106822465,10.1.1.1.1,2000/2002
1201,2006,2030.0,"Zone 1 - Western, Nova Scotia",2015A00071201,v106822465,10.1.1.1.1,2005/2007
1201,2011,2038.3333333333333,"Zone 1 - Western, Nova Scotia",2015A00071201,v106822465,10.1.1.1.1,2010/2012
1201,2020,2057.858808909147,"Zone 1 - Western, Nova Scotia",2015A00071201,v106822465,10.1.1.1.1,2019/2021
1202,2001,1385.0,"Zone 2 - Northern, Nova Scotia",2015A00071202,v106823347,11.1.1.1.1,2000/2002
1202,2006,1418.3333333333333,"Zone 2 - Northern, Nova Scotia",2015A00071202,v106823347,11.1.1.1.1,2005/2007
1202,2011,1541.6666666666667,"Zone 2 - Northern, Nova Scotia",2015A00071202,v106823347,11.1.1.1.1,2010/2012
1202,2020,1759.1411790195825,"Zone 2 - Northern, Nova Scotia",2015A00071202,v106823347,11.1.1.1.1,2019/2021
1203,2001,1821.6666666666667,"Zone 3 - Eastern, Nova Scotia",2015A00071203,v106824229,12.1.1.1.1,2000/2002
1203,2006,1915.0,"Zone 3 - Eastern, Nova Scotia",2015A00071203,v106824229,12.1.1.1.1,2005/2007
1203,2011,1855.0,"Zone 3 - Eastern, Nova Scotia",2015A00071203,v106824229,12.1.1.1.1,2010/2012
1203,2020,1751.5246847942922,"Zone 3 - Eastern, Nova Scotia",2015A00071203,v106824229,12.1.1.1.1,2019/2021
1204,2001,2553.3333333333335,"Zone 4 - Central, Nova Scotia",2015A00071204,v106825111,13.1.1.1.1,2000/2002
1204,2006,2796.6666666666665,"Zone 4 - Central, Nova Scotia",2015A00071204,v106825111,13.1.1.1.1,2005/2007
1204,2011,2963.3333333333335,"Zone 4 - Central, Nova Scotia",2015A00071204,v106825111,13.1.1.1.1,2010/2012
1204,2020,3267.858780543136,"Zone 4 - Central, Nova Scotia",2015A00071204,v106825111,13.1.1.1.1,2019/2021
1300,2001,6053.333333333333,New Brunswick,2016A000213,v106825993,14.1.1.1.1,2000/2002
1300,2006,6153.333333333333,New Brunswick,2016A000213,v106825993,14.1.1.1.1,2005/2007
1300,2011,6378.333333333333,New Brunswick,2016A000213,v106825993,14.1.1.1.1,2010/2012
1300,2020,6778.80803887046,New Brunswick,2016A000213,v106825993,14.1.1.1.1,2019/2021
1301,2001,1473.3333333333333,"Zone 1 (Moncton area), New Brunswick",2015A00071301,v106826875,15.1.1.1.1,2000/2002
1301,2006,1536.6666666666667,"Zone 1 (Moncton area), New Brunswick",2015A00071301,v106826875,15.1.1.1.1,2005/2007
1301,2011,1606.6666666666667,"Zone 1 (Moncton area), New Brunswick",2015A00071301,v106826875,15.1.1.1.1,2010/2012
1301,2020,1728.1413842653706,"Zone 1 (Moncton area), New Brunswick",2015A00071301,v106826875,15.1.1.1.1,2019/2021
1302,2001,1516.6666666666667,"Zone 2 (Saint John area), New Brunswick",2015A00071302,v106827757,16.1.1.1.1,2000/2002
1302,2006,1525.0,"Zone 2 (Saint John area), New Brunswick",2015A00071302,v106827757,16.1.1.1.1,2005/2007
1302,2011,1546.6666666666667,"Zone 2 (Saint John area), New Brunswick",2015A00071302,v106827757,16.1.1.1.1,2010/2012
1302,2020,1581.1412685167584,"Zone 2 (Saint John area), New Brunswick",2015A00071302,v106827757,16.1.1.1.1,2019/2021
1303,2001,1293.3333333333333,"Zone 3 (Fredericton area), New Brunswick",2015A00071303,v106828639,17.1.1.1.1,2000/2002
1303,2006,1348.3333333333333,"Zone 3 (Fredericton area), New Brunswick",2015A00071303,v106828639,17.1.1.1.1,2005/2007
1303,2011,1443.3333333333333,"Zone 3 (Fredericton area), New Brunswick",2015A00071303,v106828639,17.1.1.1.1,2010/2012
1303,2020,1609.8077039149744,"Zone 3 (Fredericton area), New Brunswick",2015A00071303,v106828639,17.1.1.1.1,2019/2021
1304,2001,435.0,"Zone 4 (Edmundston area), New Brunswick",2015A00071304,v106829521,18.1.1.1.1,2000/2002
1304,2006,431.6666666666667,"Zone 4 (Edmundston area), New Brunswick",2015A00071304,v106829521,18.1.1.1.1,2005/2007
1304,2011,436.6666666666667,"Zone 4 (Edmundston area), New Brunswick",2015A00071304,v106829521,18.1.1.1.1,2010/2012
1304,2020,441.1406375697104,"Zone 4 (Edmundston area), New Brunswick",2015A00071304,v106829521,18.1.1.1.1,2019/2021
1305,2001,291.6666666666667,"Zone 5 (Campbellton area), New Brunswick",2015A00071305,v106830403,19.1.1.1.1,2000/2002
1305,2006,285.0,"Zone 5 (Campbellton area), New Brunswick",2015A00071305,v106830403,19.1.1.1.1,2005/2007
1305,2011,298.3333333333333,"Zone 5 (Campbellton area), New Brunswick",2015A00071305,v106830403,19.1.1.1.1,2010/2012
1305,2020,317.80723228233353,"Zone 5 (Campbellton area), New Brunswick",2015A00071305,v106830403,19.1.1.1.1,2019/2021
1306,2001,656.6666666666666,"Zone 6 (Bathurst area), New Brunswick",2015A00071306,v106831285,20.1.1.1.1,2000/2002
1306,2006,620.0,"Zone 6 (Bathurst area), New Brunswick",2015A00071306,v106831285,20.1.1.1.1,2005/2007
1306,2011,648.3333333333334,"Zone 6 (Bathurst area), New Brunswick",2015A00071306,v106831285,20.1.1.1.1,2010/2012
1306,2020,694.807855059641,"Zone 6 (Bathurst area), New Brunswick",2015A00071306,v106831285,20.1.1.1.1,2019/2021
1307,2001,386.6666666666667,"Zone 7 (Miramichi area), New Brunswick",2015A00071307,v106832167,21.1.1.1.1,2000/2002
1307,2006,406.6666666666667,"Zone 7 (Miramichi area), New Brunswick",2015A00071307,v106832167,21.1.1.1.1,2005/2007
1307,2011,398.3333333333333,"Zone 7 (Miramichi area), New Brunswick",2015A00071307,v106832167,21.1.1.1.1,2010/2012
1307,2020,387.8596877990599,"Zone 7 (Miramichi area), New Brunswick",2015A00071307,v106832167,21.1.1.1.1,2019/2021
2400,2001,53978.333333333336,Quebec,2016A000224,v106833049,22.1.1.1.1,2000/2002
2400,2006,55416.666666666664,Quebec,2016A000224,v106833049,22.1.1.1.1,2005/2007
2400,2011,59693.333333333336,Quebec,2016A000224,v106833049,22.1.1.1.1,2010/2012
2400,2020,67386.80770907996,Quebec,2016A000224,v106833049,22.1.1.1.1,2019/2021
2401,2001,1680.0,"Région du Bas-Saint-Laurent, Quebec",2015A00072401,v106833931,23.1.1.1.1,2000/2002
2401,2006,1750.0,"Région du Bas-Saint-Laurent, Quebec",2015A00072401,v106833931,23.1.1.1.1,2005/2007
2401,2011,1883.3333333333333,"Région du Bas-Saint-Laurent, Quebec",2015A00072401,v106833931,23.1.1.1.1,2010/2012
2401,2020,2118.8071549886354,"Région du Bas-Saint-Laurent, Quebec",2015A00072401,v106833931,23.1.1.1.1,2019/2021
2402,2001,2023.3333333333333,"Région du Saguenay - Lac-Saint-Jean, Quebec",2015A00072402,v106834813,24.1.1.1.1,2000/2002
2402,2006,2083.3333333333335,"Région du Saguenay - Lac-Saint-Jean, Quebec",2015A00072402,v106834813,24.1.1.1.1,2005/2007
2402,2011,2225.0,"Région du Saguenay - Lac-Saint-Jean, Quebec",2015A00072402,v106834813,24.1.1.1.1,2010/2012
2402,2020,2475.4744789953807,"Région du Saguenay - Lac-Saint-Jean, Quebec",2015A00072402,v106834813,24.1.1.1.1,2019/2021
2403,2001,4930.0,"Région de la Capitale-Nationale, Quebec",2015A00072403,v106835695,25.1.1.1.1,2000/2002
2403,2006,5251.666666666667,"Région de la Capitale-Nationale, Quebec",2015A00072403,v106835695,25.1.1.1.1,2005/2007
2403,2011,5600.0,"Région de la Capitale-Nationale, Quebec",2015A00072403,v106835695,25.1.1.1.1,2010/2012
2403,2020,6222.474537206061,"Région de la Capitale-Nationale, Quebec",2015A00072403,v106835695,25.1.1.1.1,2019/2021
2404,2001,4145.0,"Région de la Mauricie et du Centre-du-Québec, Quebec",2015A00072404,v106836577,26.1.1.1.1,2000/2002
2404,2006,4173.333333333333,"Région de la Mauricie et du Centre-du-Québec, Quebec",2015A00072404,v106836577,26.1.1.1.1,2005/2007
2404,2011,4536.666666666667,"Région de la Mauricie et du Centre-du-Québec, Quebec",2015A00072404,v106836577,26.1.1.1.1,2010/2012
2404,2020,5186.140984924258,"Région de la Mauricie et du Centre-du-Québec, Quebec",2015A00072404,v106836577,26.1.1.1.1,2019/2021
2405,2001,3298.3333333333335,"Région de l'Estrie, Quebec",2015A00072405,v106837459,27.1.1.1.1,2000/2002
2405,2006,3400.0,"Région de l'Estrie, Quebec",2015A00072405,v106837459,27.1.1.1.1,2005/2007
2405,2011,3578.3333333333335,"Région de l'Estrie, Quebec",2015A00072405,v106837459,27.1.1.1.1,2010/2012
2405,2020,3894.8078861235363,"Région de l'Estrie, Quebec",2015A00072405,v106837459,27.1.1.1.1,2019/2021
2406,2001,15205.0,"Région de Montréal, Quebec",2015A00072406,v106838341,28.1.1.1.1,2000/2002
2406,2006,14591.666666666666,"Région de Montréal, Quebec",2015A00072406,v106838341,28.1.1.1.1,2005/2007
2406,2011,14786.666666666666,"Région de Montréal, Quebec",2015A00072406,v106838341,28.1.1.1.1,2010/2012
2406,2020,15136.460859613271,"Région de Montréal, Quebec",2015A00072406,v106838341,28.1.1.1.1,2019/2021
2407,2001,2056.6666666666665,"Région de l'Outaouais, Quebec",2015A00072407,v106839223,29.1.1.1.1,2000/2002
2407,2006,2188.3333333333335,"Région de l'Outaouais, Quebec",2015A00072407,v106839223,29.1.1.1.1,2005/2007
2407,2011,2475.0,"Région de l'Outaouais, Quebec",2015A00072407,v106839223,29.1.1.1.1,2010/2012
2407,2020,2986.4749535243736,"Région de l'Outaouais, Quebec",2015A00072407,v106839223,29.1.1.1.1,2019/2021
2408,2001,1066.6666666666667,"Région de l'Abitibi-Témiscamingue, Quebec",2015A00072408,v106840105,30.1.1.1.1,2000/2002
2408,2006,1018.3333333333334,"Région de l'Abitibi-Témiscamingue, Quebec",2015A00072408,v106840105,30.1.1.1.1,2005/2007
2408,2011,1156.6666666666667,"Région de l'Abitibi-Témiscamingue, Quebec",2015A00072408,v106840105,30.1.1.1.1,2010/2012
2408,2020,1401.1427495218795,"Région de l'Abitibi-Témiscamingue, Quebec",2015A00072408,v106840105,30.1.1.1.1,2019/2021
2409,2001,576.6666666666666,"Région de la Côte-Nord, Quebec",2015A00072409,v106840987,31.1.1.1.1,2000/2002
2409,2006,620.0,"Région de la Côte-Nord, Quebec",2015A00072409,v106840987,31.1.1.1.1,2005/2007
2409,2011,685.0,"Région de la Côte-Nord, Quebec",2015A00072409,v106840987,31.1.1.1.1,2010/2012
2409,2020,797.4744400052666,"Région de la Côte-Nord, Quebec",2015A00072409,v106840987,31.1.1.1.1,2019/2021
2410,2001,61.666666666666664,"Région du Nord-du-Québec, Quebec",2015A00072410,v106841869,32.1.1.1.1,2000/2002
2410,2006,63.333333333333336,"Région du Nord-du-Québec, Quebec",2015A00072410,v106841869,32.1.1.1.1,2005/2007
2410,2011,83.33333333333333,"Région du Nord-du-Québec, Quebec",2015A00072410,v106841869,32.1.1.1.1,2010/2012
2410,2020,114.8078535655471,"Région du Nord-du-Québec, Quebec",2015A00072410,v106841869,32.1.1.1.1,2019/2021
2411,2001,858.3333333333334,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",2015A00072411,v106842751,33.1.1.1.1,2000/2002
2411,2006,923.3333333333334,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",2015A00072411,v106842751,33.1.1.1.1,2005/2007
2411,2011,1003.3333333333334,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",2015A00072411,v106842751,33.1.1.1.1,2010/2012
2411,2020,1142.8078874826695,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",2015A00072411,v106842751,33.1.1.1.1,2019/2021
2412,2001,2711.6666666666665,"Région de la Chaudière-Appalaches, Quebec",2015A00072412,v106843633,34.1.1.1.1,2000/2002
2412,2006,2763.3333333333335,"Région de la Chaudière-Appalaches, Quebec",2015A00072412,v106843633,34.1.1.1.1,2005/2007
2412,2011,2990.0,"Région de la Chaudière-Appalaches, Quebec",2015A00072412,v106843633,34.1.1.1.1,2010/2012
2412,2020,3393.4743710042894,"Région de la Chaudière-Appalaches, Quebec",2015A00072412,v106843633,34.1.1.1.1,2019/2021
2413,2001,2208.3333333333335,"Région de Laval, Quebec",2015A00072413,v106844515,35.1.1.1.1,2000/2002
2413,2006,2333.3333333333335,"Région de Laval, Quebec",2015A00072413,v106844515,35.1.1.1.1,2005/2007
2413,2011,2641.6666666666665,"Région de Laval, Quebec",2015A00072413,v106844515,35.1.1.1.1,2010/2012
2413,2020,3192.1411781726247,"Région de Laval, Quebec",2015A00072413,v106844515,35.1.1.1.1,2019/2021
2414,2001,2505.0,"Région de Lanaudière, Quebec",2015A00072414,v106845397,36.1.1.1.1,2000/2002
2414,2006,2716.6666666666665,"Région de Lanaudière, Quebec",2015A00072414,v106845397,36.1.1.1.1,2005/2007
2414,2011,3226.6666666666665,"Région de Lanaudière, Quebec",2015A00072414,v106845397,36.1.1.1.1,2010/2012
2414,2020,4140.141193654716,"Région de Lanaudière, Quebec",2015A00072414,v106845397,36.1.1.1.1,2019/2021
2415,2001,3096.6666666666665,"Région des Laurentides, Quebec",2015A00072415,v106846279,37.1.1.1.1,2000/2002
2415,2006,3333.3333333333335,"Région des Laurentides, Quebec",2015A00072415,v106846279,37.1.1.1.1,2005/2007
2415,2011,3811.6666666666665,"Région des Laurentides, Quebec",2015A00072415,v106846279,37.1.1.1.1,2010/2012
2415,2020,4668.141332260405,"Région des Laurentides, Quebec",2015A00072415,v106846279,37.1.1.1.1,2019/2021
2416,2001,7445.0,"Région de la Montérégie, Quebec",2015A00072416,v106847161,38.1.1.1.1,2000/2002
2416,2006,8088.333333333333,"Région de la Montérégie, Quebec",2015A00072416,v106847161,38.1.1.1.1,2005/2007
2416,2011,8868.333333333334,"Région de la Montérégie, Quebec",2015A00072416,v106847161,38.1.1.1.1,2010/2012
2416,2020,10267.806741627268,"Région de la Montérégie, Quebec",2015A00072416,v106847161,38.1.1.1.1,2019/2021
2417,2001,65.0,"Région du Nunavik, Quebec",2015A00072417,v106848043,39.1.1.1.1,2000/2002
2417,2006,66.66666666666667,"Région du Nunavik, Quebec",2015A00072417,v106848043,39.1.1.1.1,2005/2007
2417,2011,73.33333333333333,"Région du Nunavik, Quebec",2015A00072417,v106848043,39.1.1.1.1,2010/2012
2417,2020,80.80663067523145,"Région du Nunavik, Quebec",2015A00072417,v106848043,39.1.1.1.1,2019/2021
2418,2001,45.0,"Région des Terres-Cries-de-la-Baie-James, Quebec",2015A00072418,v106848925,40.1.1.1.1,2000/2002
2418,2006,51.666666666666664,"Région des Terres-Cries-de-la-Baie-James, Quebec",2015A00072418,v106848925,40.1.1.1.1,2005/2007
2418,2011,68.33333333333333,"Région des Terres-Cries-de-la-Baie-James, Quebec",2015A00072418,v106848925,40.1.1.1.1,2010/2012
2418,2020,93.80821686682117,"Région des Terres-Cries-de-la-Baie-James, Quebec",2015A00072418,v106848925,40.1.1.1.1,2019/2021
3500,2001,80680.0,Ontario by Local Health Integration Network,,v106849807,41.1.1.1.1,2000/2002
3500,2006,83185.0,Ontario by Local Health Integration Network,,v106849807,41.1.1.1.1,2005/2007
3500,2011,88491.66666666667,Ontario by Local Health Integration Network,,v106849807,41.1.1.1.1,2010/2012
3500,2020,98039.14113169926,Ontario by Local Health Integration Network,,v106849807,41.1.1.1.1,2019/2021
3501,2001,5006.666666666667,"Erie St. Clair Health Integration Network, Ontario",2015A00083501,v106850689,42.1.1.1.1,2000/2002
3501,2006,5090.0,"Erie St. Clair Health Integration Network, Ontario",2015A00083501,v106850689,42.1.1.1.1,2005/2007
3501,2011,5280.0,"Erie St. Clair Health Integration Network, Ontario",2015A00083501,v106850689,42.1.1.1.1,2010/2012
3501,2020,5617.474489811493,"Erie St. Clair Health Integration Network, Ontario",2015A00083501,v106850689,42.1.1.1.1,2019/2021
3502,2001,7390.0,"South West Health Integration Network, Ontario",2015A00083502,v106851571,43.1.1.1.1,2000/2002
3502,2006,7496.666666666667,"South West Health Integration Network, Ontario",2015A00083502,v106851571,43.1.1.1.1,2005/2007
3502,2011,7775.0,"South West Health Integration Network, Ontario",2015A00083502,v106851571,43.1.1.1.1,2010/2012
3502,2020,8271.474054040811,"South West Health Integration Network, Ontario",2015A00083502,v106851571,43.1.1.1.1,2019/2021
3503,2001,4131.666666666667,"Waterloo Wellington Health Integration Network, Ontario",2015A00083503,v106852453,44.1.1.1.1,2000/2002
3503,2006,4311.666666666667,"Waterloo Wellington Health Integration Network, Ontario",2015A00083503,v106852453,44.1.1.1.1,2005/2007
3503,2011,4668.333333333333,"Waterloo Wellington Health Integration Network, Ontario",2015A00083503,v106852453,44.1.1.1.1,2010/2012
3503,2020,5305.807771322969,"Waterloo Wellington Health Integration Network, Ontario",2015A00083503,v106852453,44.1.1.1.1,2019/2021
3504,2001,10790.0,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",2015A00083504,v106853335,45.1.1.1.1,2000/2002
3504,2006,11208.333333333334,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",2015A00083504,v106853335,45.1.1.1.1,2005/2007
3504,2011,11776.666666666666,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",2015A00083504,v106853335,45.1.1.1.1,2010/2012
3504,2020,12795.141180635816,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",2015A00083504,v106853335,45.1.1.1.1,2019/2021
3505,2001,2773.3333333333335,"Central West Health Integration Network, Ontario",2015A00083505,v106854217,46.1.1.1.1,2000/2002
3505,2006,3180.0,"Central West Health Integration Network, Ontario",2015A00083505,v106854217,46.1.1.1.1,2005/2007
3505,2011,3650.0,"Central West Health Integration Network, Ontario",2015A00083505,v106854217,46.1.1.1.1,2010/2012
3505,2020,4491.473821655303,"Central West Health Integration Network, Ontario",2015A00083505,v106854217,46.1.1.1.1,2019/2021
3506,2001,4325.0,"Mississauga Halton Health Integration Network, Ontario",2015A00083506,v106855099,47.1.1.1.1,2000/2002
3506,2006,4851.666666666667,"Mississauga Halton Health Integration Network, Ontario",2015A00083506,v106855099,47.1.1.1.1,2005/2007
3506,2011,5325.0,"Mississauga Halton Health Integration Network, Ontario",2015A00083506,v106855099,47.1.1.1.1,2010/2012
3506,2020,6181.527528438024,"Mississauga Halton Health Integration Network, Ontario",2015A00083506,v106855099,47.1.1.1.1,2019/2021
3507,2001,7811.666666666667,"Toronto Central Health Integration Network, Ontario",2015A00083507,v106855981,48.1.1.1.1,2000/2002
3507,2006,7120.0,"Toronto Central Health Integration Network, Ontario",2015A00083507,v106855981,48.1.1.1.1,2005/2007
3507,2011,7060.0,"Toronto Central Health Integration Network, Ontario",2015A00083507,v106855981,48.1.1.1.1,2010/2012
3507,2020,6947.474552790236,"Toronto Central Health Integration Network, Ontario",2015A00083507,v106855981,48.1.1.1.1,2019/2021
3508,2001,7381.666666666667,"Central Health Integration Network, Ontario",2015A00083508,v106856863,49.1.1.1.1,2000/2002
3508,2006,7745.0,"Central Health Integration Network, Ontario",2015A00083508,v106856863,49.1.1.1.1,2005/2007
3508,2011,8610.0,"Central Health Integration Network, Ontario",2015A00083508,v106856863,49.1.1.1.1,2010/2012
3508,2020,10162.474522074308,"Central Health Integration Network, Ontario",2015A00083508,v106856863,49.1.1.1.1,2019/2021
3509,2001,8958.333333333334,"Central East Health Integration Network, Ontario",2015A00083509,v106857745,50.1.1.1.1,2000/2002
3509,2006,9518.333333333334,"Central East Health Integration Network, Ontario",2015A00083509,v106857745,50.1.1.1.1,2005/2007
3509,2011,10166.666666666666,"Central East Health Integration Network, Ontario",2015A00083509,v106857745,50.1.1.1.1,2010/2012
3509,2020,11329.141657118977,"Central East Health Integration Network, Ontario",2015A00083509,v106857745,50.1.1.1.1,2019/2021
3510,2001,4361.666666666667,"South East Health Integration Network, Ontario",2015A00083510,v106858627,51.1.1.1.1,2000/2002
3510,2006,4450.0,"South East Health Integration Network, Ontario",2015A00083510,v106858627,51.1.1.1.1,2005/2007
3510,2011,4678.333333333333,"South East Health Integration Network, Ontario",2015A00083510,v106858627,51.1.1.1.1,2010/2012
3510,2020,5084.80752464329,"South East Health Integration Network, Ontario",2015A00083510,v106858627,51.1.1.1.1,2019/2021
3511,2001,7666.666666666667,"Champlain Health Integration Network, Ontario",2015A00083511,v106859509,52.1.1.1.1,2000/2002
3511,2006,7815.0,"Champlain Health Integration Network, Ontario",2015A00083511,v106859509,52.1.1.1.1,2005/2007
3511,2011,8303.333333333334,"Champlain Health Integration Network, Ontario",2015A00083511,v106859509,52.1.1.1.1,2010/2012
3511,2020,9177.807342413866,"Champlain Health Integration Network, Ontario",2015A00083511,v106859509,52.1.1.1.1,2019/2021
3512,2001,3086.6666666666665,"North Simcoe Muskoka Health Integration Network, Ontario",2015A00083512,v106860391,53.1.1.1.1,2000/2002
3512,2006,3383.3333333333335,"North Simcoe Muskoka Health Integration Network, Ontario",2015A00083512,v106860391,53.1.1.1.1,2005/2007
3512,2011,3628.3333333333335,"North Simcoe Muskoka Health Integration Network, Ontario",2015A00083512,v106860391,53.1.1.1.1,2010/2012
3512,2020,4073.8592188469756,"North Simcoe Muskoka Health Integration Network, Ontario",2015A00083512,v106860391,53.1.1.1.1,2019/2021
3513,2001,4948.333333333333,"North East Health Integration Network, Ontario",2015A00083513,v106861273,54.1.1.1.1,2000/2002
3513,2006,5043.333333333333,"North East Health Integration Network, Ontario",2015A00083513,v106861273,54.1.1.1.1,2005/2007
3513,2011,5393.333333333333,"North East Health Integration Network, Ontario",2015A00083513,v106861273,54.1.1.1.1,2010/2012
3513,2020,6018.807851553374,"North East Health Integration Network, Ontario",2015A00083513,v106861273,54.1.1.1.1,2019/2021
3514,2001,2048.3333333333335,"North West Health Integration Network, Ontario",2015A00083514,v106862155,55.1.1.1.1,2000/2002
3514,2006,1970.0,"North West Health Integration Network, Ontario",2015A00083514,v106862155,55.1.1.1.1,2005/2007
3514,2011,2176.6666666666665,"North West Health Integration Network, Ontario",2015A00083514,v106862155,55.1.1.1.1,2010/2012
3514,2020,2544.1415100931986,"North West Health Integration Network, Ontario",2015A00083514,v106862155,55.1.1.1.1,2019/2021
3526,2001,1071.6666666666667,"District of Algoma Health Unit, Ontario",2015A00073526,v106863919,57.1.1.1.1,2000/2002
3526,2006,1178.3333333333333,"District of Algoma Health Unit, Ontario",2015A00073526,v106863919,57.1.1.1.1,2005/2007
3526,2011,1256.6666666666667,"District of Algoma Health Unit, Ontario",2015A00073526,v106863919,57.1.1.1.1,2010/2012
3526,2020,1402.1930211323952,"District of Algoma Health Unit, Ontario",2015A00073526,v106863919,57.1.1.1.1,2019/2021
